project	bucket	rationale	refs_strong	refs_weak	ref_sources	files	bytes	tracked_files	tracked_bytes	builder_scripts	intermediate_hits	status_marker
20260715_all_ssnv_focal_alt_multigroup_cooccurrence_validation	B	Q1 有 54 處路徑引用，但 1137.8 MB 過大，留磁碟	54	21	"research/20260715_all_ssnv_focal_alt_multigroup_cooccurrence_validation/20260719_latent_molecular_substructure\350\255\211\346\223\232\345\210\206\345\261\244\350\210\207\346\257\224\344\276\213_01.md";"research/20260715_all_ssnv_focal_alt_multigroup_cooccurrence_validation/audit_notes/20260719_v18\346\255\243\345\274\217\345\244\226\345\257\251StructuredOutput\345\245\221\347\264\204\345\244\261\346\225\227\347\264\200\351\214\204_01.md";"research/20260715_all_ssnv_focal_alt_multigroup_cooccurrence_validation/audit_notes/20260722_tumor_REF_receipt_promotion_v3\344\270\211\346\226\271\346\255\243\345\274\217\345\257\251\346\237\245\347\264\200\351\214\204_01.md"	31348	1137811284	831	9291830	635	29033	
20260715_layered_workstation_concept_dimensions	MANUAL	四問皆不適用，需人工裁決	0	0		2	23743	2	19647	0	0	validated
20260715_layered_workstation_genome_topology_multiselect	B	Q1 有 12 處路徑引用，但 153.9 MB 過大，留磁碟	12	1	"research/20260715_layered_workstation_genome_topology_multiselect/20260715_GRCh38\346\213\223\346\222\262\345\275\242\346\205\213\345\244\232\351\201\270\345\267\245\344\275\234\347\253\231\345\256\214\346\225\264\346\252\242\350\246\226_01.md";"research/20260715_sample_topology_comparison/20260715_\344\270\203\350\263\207\346\226\231\351\233\206\346\213\223\346\222\262\347\265\220\346\247\213\346\257\224\350\274\203\350\210\207HCC1395\350\267\250\346\212\200\350\241\223\351\207\215\347\217\276\346\200\247\351\251\227\350\255\211_01.md";"research/20260722_hcc1395_ps_block_hp_orientation_audit/20260722_HCC1395\350\267\250PS\345\215\200\345\237\237\350\210\207HP\346\226\271\345\220\221\346\225\217\346\204\237\345\272\246\351\251\227\350\255\211_01.md"	71	153900658	34	4711809	3	3	validated
20260715_layered_workstation_sample_overview	MANUAL	四問皆不適用，需人工裁決	0	0		5	30159	5	26063	0	0	reviewed_and_followups_closed
20260715_sample_topology_comparison	A	Q1 有 4 處路徑引用，5.0 MB 可進 git	4	0	"research/20260715_sample_topology_comparison/20260715_\344\270\203\350\263\207\346\226\231\351\233\206\346\213\223\346\222\262\347\265\220\346\247\213\346\257\224\350\274\203\350\210\207HCC1395\350\267\250\346\212\200\350\241\223\351\207\215\347\217\276\346\200\247\351\251\227\350\255\211_01.md";"research/20260723_hcc1395_crosssource_topology_resolution/20260723_HCC1395\350\267\250\344\276\206\346\272\220\346\213\223\346\222\262\350\247\243\346\236\220\345\212\233\350\210\207\344\276\206\346\272\220\346\255\270\345\233\240\351\251\227\350\255\211\350\250\255\350\250\210_01.md";"research/20260723_hcc1395_crosssource_topology_resolution/component_impact_validation/20260723_\346\213\223\346\222\262\345\205\203\344\273\266\350\210\207\346\226\260\345\242\236\346\250\241\347\265\204\345\275\261\351\237\277\351\251\227\350\255\211\344\276\206\346\272\220\347\255\206\350\250\230_01.md"	54	5033589	49	4875898	5	5	validated
20260715_single_fp_alt_multicluster_subclone_validation	B	Q1 有 26 處路徑引用，但 71.1 MB 過大，留磁碟	26	12	"docs/reports/in_progress/2026/07/20260716_\347\240\224\347\251\266\351\200\262\345\272\246\345\205\250\351\235\242\347\242\272\350\252\215\350\210\207gap\347\250\275\346\240\270_01.md";"research/20260715_single_fp_alt_multicluster_subclone_validation/20260715_\345\226\256\344\270\200FP_sSNV_ALT_read\347\224\262\345\237\272\345\244\232\347\276\244\350\210\207subclone\345\201\207\350\252\252\345\205\250\351\207\217\351\251\227\350\255\211_01.md";"research/20260715_single_fp_alt_multicluster_subclone_validation/20260715_\345\226\256\344\270\200FP_sSNV_ALT_read\347\224\262\345\237\272\345\244\232\347\276\244\350\210\207subclone\345\201\207\350\252\252\345\205\250\351\207\217\351\251\227\350\255\211_01.standalone.html"	122	71071394	28	275966	20	22	validated
20260716_read_linked_hypercube_exact_likelihood_validation	B	Q1 有 65 處路徑引用，但 89.3 MB 過大，留磁碟	65	17	"research/20260716_read_linked_hypercube_exact_likelihood_validation/20260716_HTML\346\225\231\346\216\210\345\240\261\345\221\212\346\225\270\346\223\232\350\252\236\346\204\217\347\215\250\347\253\213redteam\347\250\275\346\240\270_01.md";"research/20260716_read_linked_hypercube_exact_likelihood_validation/20260716_HTMLbuilder\346\234\200\347\265\202\347\231\274\345\270\203\350\210\207\346\225\270\346\223\232\347\266\201\345\256\232\347\215\250\347\253\213redteam_01.md";"research/20260716_read_linked_hypercube_exact_likelihood_validation/20260716_Hypercube_exact_solver\347\270\256\346\270\233\350\210\207\345\210\227\350\210\211\346\225\210\350\203\275\347\250\275\346\240\270_01.md"	226	89337405	72	2420903	43	63	independent_red_team_complete
20260717_bam_read_n50_validation	A	Q1 有 1 處路徑引用，0.0 MB 可進 git	1	0	"research/20260717_bam_read_n50_validation/20260717_HCC1395_ONT_BAM_read_N50\351\251\227\350\255\211_01.md"	2	17926	2	5232	0	0	validated
20260718_hypercube_exact_preserving_solver_cache_remediation	A	Q1 有 12 處路徑引用，0.0 MB 可進 git	12	0	"research/20260716_read_linked_hypercube_exact_likelihood_validation/20260718_M2_exact_preserving\344\277\256\350\243\234\346\255\243\345\274\217\345\237\267\350\241\214Runbook_03.md";"research/20260716_read_linked_hypercube_exact_likelihood_validation/20260719_M2_exact_preserving\350\263\207\346\272\220\351\226\230\351\226\200\344\277\256\350\243\234\346\255\243\345\274\217\345\237\267\350\241\214Runbook_04.md";"research/20260718_hypercube_exact_preserving_solver_cache_remediation/20260718_Hypercube_exact_preserving\344\277\256\350\243\234\350\210\207\351\251\227\350\255\211\347\265\220\346\236\234_01.md"	4	29582	3	12458	0	0	
20260718_k_gt8_read_supported_segmentation	B	Q1 有 12 處路徑引用，但 28.7 MB 過大，留磁碟	12	4	"research/20260718_k_gt8_read_supported_segmentation/20260718_HCC1395\345\256\214\346\225\264\345\210\206\345\211\262PortableHTML\345\260\201\350\243\235\350\210\207QA\345\245\221\347\264\204_01.md";"research/20260723_k_gt12_chain_validity_audit/20260723_k\345\244\247\346\226\27412\350\210\207ABC\344\270\262\350\201\257\345\220\210\347\220\206\346\200\247\351\251\227\350\255\211_01.md";docs/superpowers/specs/2026-08-06-implementation-blueprint.md	147	28676396	29	922055	21	43	
20260718_perfect_phylogeny_constraint_pilot	A	Q1 有 3 處路徑引用，0.1 MB 可進 git	3	0	"research/20260718_perfect_phylogeny_constraint_pilot/20260718_PerfectPhylogeny\351\231\220\345\210\266\350\210\207\345\200\231\351\201\270\344\270\212\351\231\220\345\260\217\345\236\213\346\270\254\350\251\246_01.md";"research/20260718_solver_methyl_edge_probe/20260718_Hypercube\351\202\212\350\210\207subcube\346\224\271\350\211\257\347\240\224\347\251\266\350\250\210\347\225\253_01.md";"research/20260718_solver_methyl_edge_probe/results/optimized_backend_benchmark_v1/frozen_v1/context/20260718_Hypercube\351\202\212\350\210\207subcube\346\224\271\350\211\257\347\240\224\347\251\266\350\250\210\347\225\253_01.md"	5	114259	4	41466	3	0	
20260718_singleton_alt_methyl_substructure_validation	B	Q1 有 7 處路徑引用，但 19.8 MB 過大，留磁碟	7	3	"research/20260718_singleton_alt_methyl_substructure_validation/20260718_HCC1395_singleton_ALT\347\224\262\345\237\272\345\255\220\347\265\220\346\247\213\351\251\227\350\255\211\345\240\261\345\221\212_01.md";"research/20260723_hcc1395_singleton_alt_methyl_multigroup_visual_report/results/20260723_HCC1395_734HTML\344\272\244\344\273\230\350\210\207\351\251\227\350\255\211_01.md";"research/20260723_hcc1395_singleton_alt_methyl_multigroup_visual_report/results/20260723_HCC1395_734\344\275\215\351\273\236\351\207\215\347\256\227\346\221\230\350\246\201_01.md"	115	19776216	15	278735	11	3	
20260718_solver_methyl_edge_probe	A	Q1 有 11 處路徑引用，5.4 MB 可進 git	11	0	"research/20260718_solver_methyl_edge_probe/20260718_Hypercube\347\220\206\350\253\226\347\270\256\346\270\233\350\210\207\350\207\252\351\201\251\346\207\211\346\224\276\345\257\254\350\251\225\344\274\260_01.md";"research/20260718_solver_methyl_edge_probe/20260718_Hypercube\351\202\212\350\210\207subcube\346\224\271\350\211\257\347\240\224\347\251\266\350\250\210\347\225\253_01.md";"research/20260718_solver_methyl_edge_probe/20260718_solver\350\210\207\347\224\262\345\237\272edge\345\260\217\346\255\245\351\251\227\350\255\211\345\240\261\345\221\212_01.md"	548	5390272	89	2059187	52	273	exploratory_probe_complete
20260719_longlineage_cpp_rebuild	A	Q1 有 1 處路徑引用，0.0 MB 可進 git	1	0	"research/20260719_longlineage_cpp_rebuild/20260719_LongLineage_foundation\345\257\246\344\275\234\350\210\207\351\251\227\350\255\211\347\264\200\351\214\204_01.md"	4	36386	4	25515	0	0	in_progress
20260722_exact_ps_k12_hcc1395_pilot	A	Q1 有 14 處路徑引用，2.6 MB 可進 git	14	8	"research/20260723_hcc1395_crosssource_topology_resolution/component_impact_validation/20260723_\346\213\223\346\222\262\345\205\203\344\273\266\350\210\207\346\226\260\345\242\236\346\250\241\347\265\204\345\275\261\351\237\277\351\251\227\350\255\211\344\276\206\346\272\220\347\255\206\350\250\230_01.md";"research/20260723_k_gt12_chain_validity_audit/20260723_k\345\244\247\346\226\27412\350\210\207ABC\344\270\262\350\201\257\345\220\210\347\220\206\346\200\247\351\251\227\350\255\211_01.md";"research/20260723_strict_two_ssnv_phaseblock_validation/20260723_\345\205\251\345\200\213sSNV\350\210\207exactPhaseBlock\347\250\213\345\274\217\345\217\212\346\234\200\346\226\260\346\225\270\346\223\232\351\251\227\350\255\211_01.md"	48	2602681	20	462347	14	23	
20260722_hcc1395_ps_block_hp_orientation_audit	A	Q1 有 2 處路徑引用，2.4 MB 可進 git	2	0	"research/20260722_hcc1395_ps_block_hp_orientation_audit/20260722_HCC1395\350\267\250PS\345\215\200\345\237\237\350\210\207HP\346\226\271\345\220\221\346\225\217\346\204\237\345\272\246\351\251\227\350\255\211_01.md";research/20260723_production_exact_ps_strict_read_linkage/pre-decision-audit.md	40	2411658	6	51760	4	12	
20260723_hcc1395_crosssource_topology_resolution	A	Q1 有 9 處路徑引用，2.0 MB 可進 git	9	0	"docs/archive/2026/07/20260723_hcc1395_biological_id_report_preclaim_audit/20260723_HCC1395_biological_ID_specificity\350\210\207\350\236\215\345\220\210\346\250\271\351\251\227\350\255\211_01.html";"research/20260723_hcc1395_crosssource_topology_resolution/20260723_HCC1395\350\267\250\344\276\206\346\272\220\346\213\223\346\222\262\350\247\243\346\236\220\345\212\233\350\210\207\344\276\206\346\272\220\346\255\270\345\233\240\351\251\227\350\255\211\350\250\255\350\250\210_01.md";"research/20260723_hcc1395_crosssource_topology_resolution/biological_id_specificity_report/20260723_HCC1395_biological_ID_specificity\350\210\207\350\236\215\345\220\210\346\250\271\351\251\227\350\255\211\344\276\206\346\272\220\347\255\206\350\250\230_01.md"	21	2005660	9	90387	3	3	design_complete_execution_not_started
20260723_hcc1395_singleton_alt_methyl_multigroup_visual_report	A	Q1 有 7 處路徑引用，4.9 MB 可進 git	7	0	"research/20260723_hcc1395_singleton_alt_methyl_multigroup_visual_report/results/20260723_HCC1395_734HTML\344\272\244\344\273\230\350\210\207\351\251\227\350\255\211_01.md";"research/20260723_hcc1395_singleton_alt_methyl_multigroup_visual_report/results/20260723_HCC1395_734\344\275\215\351\273\236\351\207\215\347\256\227\346\221\230\350\246\201_01.md";"research/20260723_hcc1395_singleton_alt_methyl_multigroup_visual_report/results/20260723_portable_HTML_contract\347\233\244\351\273\236_01.md"	20	4871963	7	59895	2	2	
20260723_k_gt12_chain_validity_audit	C	Q2 無路徑引用，但有 2 支 builder 且 8 檔已 tracked，可重建	0	0		9	170583	8	129150	2	1	
20260723_production_exact_ps_strict_read_linkage	B	Q1 有 31 處路徑引用，但 20.7 MB 過大，留磁碟	31	9	"docs/archive/2026/07/20260723_hcc1395_biological_id_report_preclaim_audit/20260723_HCC1395_biological_ID_specificity\350\210\207\350\236\215\345\220\210\346\250\271\351\251\227\350\255\211_01.html";"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/20260801_AI\346\226\260\350\256\200\350\200\205\346\270\254\350\251\246\350\210\207\344\277\256\346\255\243\347\264\200\351\214\204_01.md";"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/20260801_\346\254\212\345\250\201\350\263\207\346\226\231\350\210\207\351\201\216\346\234\237\344\276\206\346\272\220\347\231\273\351\214\204_01.md"	206	20680346	33	407342	13	14	
20260723_strict_two_ssnv_phaseblock_validation	A	Q1 有 1 處路徑引用，0.1 MB 可進 git	1	0	"research/20260723_strict_two_ssnv_phaseblock_validation/20260723_\345\205\251\345\200\213sSNV\350\210\207exactPhaseBlock\347\250\213\345\274\217\345\217\212\346\234\200\346\226\260\346\225\270\346\223\232\351\251\227\350\255\211_01.md"	8	139423	7	92308	3	1	
20260724_all_ssnv_representative_locus_explanation	A	Q1 有 4 處路徑引用，1.0 MB 可進 git	4	0	"research/20260724_all_ssnv_representative_locus_explanation/20260724_\345\226\256\344\275\215\351\273\236sSNV\347\224\262\345\237\272\345\244\232\347\276\244\344\273\243\350\241\250\344\275\215\351\273\236\345\256\232\347\276\251\350\210\207\345\201\234\346\255\242\345\210\244\345\256\232_01.standalone.html";"research/20260724_all_ssnv_representative_locus_explanation/results/20260724_\344\273\243\350\241\250\344\275\215\351\273\236HTML\344\272\244\344\273\230\350\210\207\351\251\227\350\255\211_01.md";docs/CURRENT_FOCUS.md	13	989027	5	10410	1	0	
20260724_exact_ps_cpp_topology_af_all_samples	A	Q1 有 11 處路徑引用，4.8 MB 可進 git	11	39	"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/20260801_\346\254\212\345\250\201\350\263\207\346\226\231\350\210\207\351\201\216\346\234\237\344\276\206\346\272\220\347\231\273\351\214\204_01.md";"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/20260801_\347\240\224\347\251\266\347\213\200\346\205\213\350\210\207AI\344\272\244\346\216\245\346\211\213\345\206\212_01.md";"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/20260801_readAF_CNV\350\210\207\345\226\256\344\270\200\346\250\271\346\261\272\347\255\226\350\246\217\346\240\274_01.md"	23	4839313	15	270673	8	0	
20260724_exact_ps_cpp_topology_signature_census	B	Q1 有 15 處路徑引用，但 118.2 MB 過大，留磁碟	15	12	"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/20260801_\346\254\212\345\250\201\350\263\207\346\226\231\350\210\207\351\201\216\346\234\237\344\276\206\346\272\220\347\231\273\351\214\204_01.md";"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/20260801_\347\240\224\347\251\266\347\213\200\346\205\213\350\210\207AI\344\272\244\346\216\245\346\211\213\345\206\212_01.md";"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/authority_manifest.json"	664	118245547	121	22335299	12	14	
20260724_likelihood_cpp_production_readiness	A	Q1 有 1 處路徑引用，3.9 MB 可進 git	1	0	"research/20260724_likelihood_cpp_production_readiness/20260724_Likelihood\350\210\207C++\345\276\214\347\272\214\346\265\201\347\250\213HTML\351\251\227\350\255\211\347\264\200\351\214\204_01.md"	12	3904663	3	11816	1	1	
